age,income,credit_score,loan_amount,loan_term_months,employment_years,num_of_credit_cards,previous_defaults,debt_to_income_ratio,default
43,176193,784,35251,60,26,0,4,0.43,1
52,148563,510,17373,12,9,8,4,0.67,1
57,57487,343,23987,24,15,8,0,0.48,1
32,184433,840,43729,60,9,4,1,0.59,1
69,41223,391,20734,48,5,8,0,0.49,1
33,92930,564,47429,48,4,6,3,0.6,1
43,165128,519,46337,48,5,8,2,0.67,1
45,48380,741,45325,60,24,6,2,0.26,1
55,46035,700,23064,60,3,8,3,0.2,1
61,50620,699,13433,60,39,1,3,0.39,1
50,170949,789,14111,12,31,7,2,0.52,1
37,137360,784,43450,24,34,6,1,0.24,0
69,73352,769,20047,48,9,5,1,0.1,0
40,181983,744,13084,12,33,4,1,0.31,0
68,183856,568,26751,48,35,3,3,0.68,1
45,23191,566,21453,12,5,6,2,0.52,1
42,184232,353,25308,60,15,2,2,0.34,1
33,110536,827,43968,48,18,7,2,0.22,1
39,124576,819,35077,60,33,1,0,0.31,0
69,23631,358,48046,48,24,0,0,0.2,1
56,157244,339,39775,36,30,1,4,0.16,1
32,62080,536,29503,12,16,8,0,0.64,1
61,110353,685,7779,36,29,4,1,0.7,1
39,171353,599,26304,12,38,7,1,0.2,0
32,48671,694,5755,24,30,2,1,0.13,0
29,142811,506,44263,48,18,6,1,0.3,1
27,147734,635,47955,24,34,1,4,0.38,1
48,179674,813,47281,24,28,7,1,0.22,0
34,71399,477,22400,12,0,6,3,0.28,1
51,174544,695,45115,36,3,4,3,0.22,1
39,27099,670,19249,60,27,3,3,0.56,1
67,176503,617,49825,12,17,0,0,0.53,1
36,76492,668,29600,60,25,4,2,0.48,1
25,116722,683,42706,24,39,8,4,0.33,1
55,198756,361,24222,60,18,9,3,0.65,1
32,50111,804,38505,36,5,3,3,0.68,1
45,83936,538,43968,12,0,8,1,0.2,1
41,173686,494,46139,36,7,1,3,0.23,1
56,193063,521,46302,36,32,3,1,0.42,1
43,80920,360,34148,12,20,8,1,0.15,1
36,83530,428,27302,36,23,3,2,0.36,1
59,187296,455,7623,48,24,4,0,0.45,1
65,27788,677,13646,48,18,7,1,0.41,1
62,48082,736,18543,48,28,0,1,0.3,0
59,143287,506,33960,60,9,0,2,0.43,1
34,109570,687,27785,36,11,8,1,0.68,1
51,121015,779,17817,12,32,8,4,0.22,1
25,103588,639,36406,12,6,3,0,0.49,1
55,167603,639,28456,60,16,1,4,0.13,1
43,108340,503,28777,12,9,8,3,0.14,1
49,114439,460,25914,48,30,3,0,0.43,1
63,195929,839,34553,36,5,5,3,0.16,1
31,161214,691,28548,12,16,0,1,0.11,0
38,135053,833,42265,12,36,8,2,0.2,1
67,68355,369,45701,24,17,4,4,0.44,1
32,160938,704,11727,24,25,2,3,0.52,1
29,145426,816,49924,24,15,3,1,0.22,0
30,84027,419,37427,36,7,0,4,0.5,1
64,179210,516,21692,48,23,8,4,0.21,1
37,112601,355,36625,48,12,7,3,0.47,1
58,49956,665,29918,48,28,3,1,0.35,0
27,124797,803,46395,36,31,1,2,0.49,1
66,144917,754,46136,36,23,8,3,0.7,1
33,146303,403,20577,24,15,3,4,0.66,1
60,156511,376,24619,12,10,8,4,0.1,1
62,198313,529,38710,60,31,9,0,0.63,1
29,62533,557,42388,60,5,2,1,0.14,1
47,179342,563,21195,12,34,6,0,0.67,1
22,98815,630,32689,24,32,6,2,0.27,1
25,59279,481,16154,12,17,9,3,0.33,1
49,129787,849,44121,12,36,3,4,0.15,1
57,174960,326,34412,60,12,1,1,0.17,1
58,168702,575,26341,24,9,8,4,0.54,1
39,81063,598,37018,36,36,3,0,0.67,1
28,147896,390,14145,60,25,7,0,0.47,1
68,186216,779,47262,36,16,1,3,0.53,1
65,117661,757,27223,24,0,7,1,0.56,1
21,158051,750,7880,12,24,9,1,0.26,0
42,177261,664,26271,48,33,4,3,0.13,1
37,193672,650,38313,48,38,6,0,0.1,0
27,143257,699,18304,24,9,6,0,0.31,0
45,106205,552,39695,48,19,8,0,0.24,1
65,26910,758,35225,36,6,2,4,0.14,1
24,66857,798,25536,48,15,9,2,0.21,1
56,54964,807,35831,24,36,3,0,0.17,0
26,176299,603,16673,24,28,9,2,0.65,1
51,157050,800,26917,36,11,3,2,0.18,1
39,37153,465,32829,48,16,9,1,0.42,1
64,79765,714,20372,48,19,4,3,0.46,1
59,128212,761,30938,12,25,5,4,0.43,1
47,59071,413,7663,60,18,2,2,0.16,1
30,132990,732,14465,24,11,3,4,0.29,1
46,89519,655,8326,12,20,2,1,0.13,0
39,29503,506,8659,24,33,1,0,0.34,1
59,115457,534,32594,12,6,9,2,0.21,1
23,167977,741,9763,60,34,8,3,0.44,1
65,65838,654,28121,12,14,0,1,0.52,1
33,145200,814,15828,24,0,1,4,0.42,1
48,109489,507,16221,48,25,7,0,0.36,1
40,46806,424,16211,24,34,6,4,0.33,1
48,196072,437,18569,36,24,0,3,0.61,1
28,173240,638,36358,36,14,4,2,0.23,1
61,90119,836,42860,36,21,9,3,0.54,1
59,58714,367,11022,36,5,5,4,0.55,1
21,75419,840,18515,60,14,4,4,0.35,1
23,125432,682,11159,48,23,3,3,0.28,1
33,112949,318,46213,48,20,0,3,0.38,1
48,153533,749,26691,24,6,6,3,0.16,1
69,165363,373,29904,12,28,8,0,0.13,1
45,197876,575,48790,24,31,5,4,0.17,1
53,96971,347,8044,24,31,2,1,0.21,1
58,113471,510,14612,24,4,9,0,0.4,1
26,84946,839,10636,24,3,3,0,0.61,1
64,118989,490,16593,48,21,9,0,0.24,1
65,104080,614,7892,12,17,4,1,0.66,1
52,97794,412,26672,24,34,0,3,0.67,1
65,50841,469,10812,48,16,4,4,0.68,1
67,144447,767,36085,24,23,0,2,0.6,1
41,140029,313,5654,36,1,8,2,0.32,1
36,199830,587,22143,24,12,6,4,0.14,1
41,96272,488,6798,24,14,2,1,0.44,1
31,57643,454,42927,60,4,8,2,0.44,1
57,63950,770,34087,36,2,1,0,0.61,1
56,120500,374,16618,12,36,6,2,0.7,1
55,179116,576,13446,24,36,8,4,0.4,1
39,145588,642,26646,12,36,5,0,0.31,0
40,35997,724,41591,36,2,9,2,0.21,1
38,99751,810,32200,24,34,4,4,0.1,1
67,118605,481,34571,60,22,6,1,0.41,1
61,174983,757,27538,48,27,5,4,0.43,1
69,75533,363,45555,60,29,4,1,0.59,1
34,102566,559,48964,60,17,1,0,0.4,1
35,165643,492,25900,48,35,7,4,0.65,1
51,128255,705,27356,48,32,6,3,0.48,1
21,78005,392,28023,48,25,5,3,0.6,1
23,63541,729,44148,24,39,4,3,0.19,1
36,43387,733,22392,12,16,4,3,0.61,1
43,113980,703,25698,12,39,8,3,0.51,1
31,199980,733,47470,48,6,0,1,0.2,0
32,105457,411,31535,60,7,8,4,0.21,1
30,164129,674,40450,36,30,5,0,0.66,1
52,84028,358,38757,48,11,3,3,0.12,1
36,139246,342,17476,60,30,9,3,0.38,1
28,75731,506,46214,60,18,6,0,0.29,1
58,175930,595,9711,24,9,8,0,0.5,1
32,199761,417,11479,24,38,4,3,0.6,1
44,64638,831,36390,12,11,4,1,0.32,0
48,197558,521,18161,12,19,7,0,0.36,1
28,40567,465,37152,36,36,6,4,0.69,1
48,180811,455,19635,36,6,7,4,0.57,1
56,77804,483,45843,36,13,9,1,0.64,1
46,128821,389,35297,36,10,1,2,0.36,1
28,23754,393,25836,60,6,8,1,0.24,1
48,47044,312,29831,60,28,2,3,0.35,1
48,87260,737,6007,12,9,5,2,0.53,1
57,86912,837,31331,24,28,5,3,0.17,1
61,28706,449,45456,24,8,1,4,0.26,1
56,28894,307,15763,48,35,6,0,0.13,1
47,169109,328,8908,60,9,8,3,0.36,1
37,103986,595,32573,36,18,9,4,0.6,1
29,101942,639,24187,36,30,0,1,0.11,0
53,49725,738,16957,48,16,7,3,0.51,1
40,156998,443,9379,24,8,1,4,0.66,1
33,124555,818,32959,36,32,0,0,0.24,0
48,29496,344,21482,24,33,7,3,0.52,1
68,76447,538,32105,48,23,1,4,0.69,1
49,121604,454,5877,24,8,5,3,0.68,1
33,180878,480,23252,24,6,5,0,0.24,1
66,108199,514,36334,24,15,4,3,0.16,1
55,61321,387,24049,36,18,7,3,0.19,1
26,173728,555,22772,12,38,2,4,0.52,1
38,75147,810,7637,60,5,9,2,0.54,1
25,111396,372,12242,24,10,3,3,0.5,1
67,58787,478,47025,24,11,6,2,0.3,1
45,41727,511,46381,24,12,6,1,0.2,1
22,115081,533,40651,12,11,7,3,0.45,1
30,142721,764,38972,48,20,1,2,0.39,1
50,88056,522,21928,36,9,1,1,0.54,1
65,154153,563,33742,12,19,3,4,0.36,1
25,185268,506,16831,24,35,9,3,0.3,1
53,187807,665,24556,12,27,8,4,0.28,1
21,100102,575,30343,12,23,9,1,0.23,1
38,176570,679,27834,12,4,8,4,0.26,1
52,96865,608,44288,48,36,3,4,0.16,1
67,182728,567,38422,60,11,8,0,0.31,1
69,87695,363,28205,36,34,2,1,0.12,1
31,188972,649,23830,48,39,4,4,0.21,1
41,137235,793,13412,48,1,9,2,0.55,1
46,198773,822,8666,60,38,8,1,0.3,0
45,128777,397,42045,48,8,5,0,0.5,1
42,39033,370,25786,12,21,2,3,0.53,1
47,161877,663,10515,12,4,9,4,0.45,1
69,186923,575,46973,24,11,8,2,0.68,1
33,46832,349,31627,48,0,5,0,0.11,1
53,135725,657,20198,24,21,3,1,0.54,1
54,165016,784,8985,36,37,3,4,0.68,1
61,39873,383,45935,12,18,7,0,0.62,1
55,60372,595,34475,36,15,6,0,0.2,0
21,109464,535,45216,60,30,0,2,0.3,1
41,166451,355,24403,12,2,5,3,0.2,1
68,137322,659,8681,36,22,7,3,0.46,1
26,187823,409,31019,60,17,2,3,0.53,1
48,120082,491,32586,36,25,8,1,0.29,1
37,25110,392,47292,60,12,9,0,0.42,1
25,32087,359,42521,60,17,1,1,0.51,1
51,174834,338,44850,12,2,5,0,0.35,1
25,102617,839,41770,24,22,0,2,0.61,1
58,120483,348,10629,60,2,1,2,0.56,1
23,29596,719,32710,60,24,4,1,0.14,1
43,127539,312,35328,12,26,0,1,0.47,1
57,38313,335,17278,24,26,7,2,0.24,1
57,133175,400,13417,48,38,0,4,0.43,1
30,134914,385,39765,48,24,8,3,0.67,1
30,43705,815,13963,24,23,9,3,0.63,1
39,93445,522,42292,36,7,2,2,0.34,1
37,123892,637,30009,12,8,1,3,0.27,1
41,22023,465,32675,24,36,0,4,0.24,1
34,139654,682,41175,48,29,8,4,0.42,1
29,100073,675,11731,60,18,3,0,0.17,0
66,112197,770,45563,48,15,0,1,0.43,0
21,84429,330,16332,60,23,0,3,0.1,1
65,124195,674,24177,12,20,6,4,0.29,1
33,53848,310,28718,60,35,1,1,0.23,1
24,188876,601,7911,24,39,6,1,0.68,1
21,166451,395,23799,60,38,6,0,0.54,1
69,47766,489,20194,36,5,9,1,0.31,1
60,88099,752,9951,24,4,8,1,0.16,0
52,187132,491,45866,12,13,6,2,0.41,1
54,89122,785,33333,24,3,0,0,0.23,0
48,167159,565,26673,36,7,7,0,0.42,1
51,68868,723,45870,12,23,7,3,0.6,1
28,139119,427,10565,48,10,3,1,0.47,1
59,174297,537,27821,36,16,7,3,0.48,1
46,115286,654,30494,12,20,3,4,0.42,1
54,26643,411,38941,60,25,7,1,0.66,1
23,56727,745,13624,24,26,4,4,0.66,1
32,162077,642,5835,12,15,3,2,0.41,1
21,129079,444,23646,24,25,5,1,0.28,1
64,85697,364,16824,60,32,1,3,0.38,1
25,36029,546,42335,12,30,1,3,0.21,1
50,165298,789,8815,48,5,1,1,0.48,1
50,179803,738,7429,36,7,8,3,0.4,1
37,129458,405,46950,12,6,9,1,0.16,1
68,130384,480,46886,60,33,2,0,0.22,1
67,88926,483,49398,12,13,9,3,0.39,1
43,157069,525,7607,24,15,3,1,0.63,1
35,75506,388,30650,12,8,9,1,0.44,1
57,98229,829,43698,48,9,7,3,0.51,1
41,62092,670,37353,12,16,3,0,0.3,0
34,82539,698,41790,36,11,9,3,0.44,1
22,172889,405,16991,12,5,9,1,0.37,1
31,188933,570,26168,24,18,6,0,0.5,1
59,33428,802,36099,12,28,4,4,0.13,1
58,195006,824,44385,48,5,8,2,0.4,1
54,161330,331,40919,60,24,3,3,0.28,1
58,77775,692,36416,12,23,2,1,0.3,0
54,25469,339,10580,12,24,1,0,0.68,1
38,48854,517,12054,36,15,0,0,0.21,1
50,157328,381,29090,48,15,5,4,0.29,1
35,96256,500,45387,60,5,9,3,0.41,1
47,185009,746,20823,24,36,1,0,0.62,1
54,119134,727,42341,12,20,7,4,0.35,1
58,152723,337,20339,60,3,5,1,0.55,1
53,104730,510,8491,24,33,4,4,0.61,1
44,176123,743,5706,48,27,1,3,0.29,1
35,47386,626,36957,48,37,6,4,0.34,1
50,167256,526,20728,60,27,1,0,0.31,1
62,53787,347,11997,24,16,4,0,0.6,1
37,41621,317,43001,48,13,1,2,0.13,1
25,97984,738,43523,60,6,9,4,0.29,1
49,196325,486,30163,48,21,1,1,0.51,1
24,54051,644,22718,48,0,6,3,0.44,1
30,69811,523,26972,48,28,8,2,0.36,1
37,50447,787,23231,36,30,4,4,0.42,1
30,148046,528,44619,24,29,6,1,0.22,1
37,181326,689,17126,60,14,3,2,0.36,1
40,104045,487,28595,60,17,1,0,0.4,1
44,136859,569,45633,24,34,2,3,0.64,1
25,165544,609,17118,24,29,1,4,0.26,1
54,23471,431,8317,24,33,4,1,0.62,1
26,140312,371,49980,24,10,5,0,0.49,1
22,159401,486,49115,12,26,6,2,0.11,1
33,185937,785,48158,60,23,2,3,0.53,1
63,66850,490,44828,12,34,3,2,0.12,1
63,74220,721,20504,48,38,7,2,0.7,1
68,113808,419,8057,48,7,3,1,0.62,1
31,157469,519,31660,60,17,6,0,0.28,1
67,186597,352,42196,48,12,5,4,0.25,1
43,73072,750,5402,24,23,6,1,0.33,0
36,103820,711,13605,12,22,0,3,0.31,1
51,43284,536,20761,24,11,2,2,0.32,1
31,103369,705,32043,48,29,5,3,0.29,1
36,45122,721,38635,12,30,2,1,0.47,1
28,150349,546,18779,24,27,6,1,0.2,1
24,90553,371,20155,60,21,8,4,0.61,1
60,114788,484,45978,24,27,2,2,0.59,1
24,82812,305,38132,48,12,0,1,0.39,1
45,27999,505,28851,12,24,9,3,0.61,1
23,42436,843,20366,60,6,5,4,0.25,1
52,62963,686,33408,12,5,0,3,0.11,1
23,153168,375,11571,60,23,0,2,0.47,1
47,176351,476,19017,12,18,7,4,0.37,1
49,128899,648,44236,48,18,8,4,0.44,1
52,46201,554,9150,60,35,1,4,0.64,1
39,170787,607,24423,36,8,8,0,0.68,1
41,180381,644,9137,12,35,4,4,0.48,1
25,166150,426,34992,12,37,7,3,0.56,1
38,25105,586,33902,24,39,6,3,0.15,1
48,137666,786,49921,60,28,6,2,0.2,1
62,114848,682,18833,36,23,3,1,0.54,1
42,22839,705,6381,48,4,1,1,0.36,1
41,88920,687,13154,24,25,4,0,0.37,0
26,63619,824,39235,36,13,2,4,0.29,1
21,62821,575,18439,60,38,8,0,0.46,1
25,145736,799,24122,36,28,5,2,0.21,1
61,164565,636,28956,12,5,0,2,0.48,1
32,37069,780,22264,12,6,2,1,0.2,0
46,27531,572,49774,24,36,3,2,0.14,1
66,188123,357,8149,60,17,8,4,0.3,1
54,158808,627,29660,60,22,5,3,0.24,1
69,158782,408,45660,36,37,3,2,0.63,1
34,87155,578,25528,24,0,0,0,0.13,1
46,165047,627,6168,60,3,7,4,0.21,1
65,82424,614,40897,12,34,1,2,0.43,1
47,65603,773,20032,36,22,7,2,0.39,1
29,174324,410,40294,48,26,5,4,0.13,1
46,152503,528,48827,12,25,7,2,0.1,1
67,188553,796,8516,24,7,5,3,0.69,1
42,112573,455,24751,60,15,4,1,0.5,1
67,160629,772,35373,12,2,4,4,0.32,1
50,123302,571,35270,48,31,9,0,0.38,1
63,151234,301,15386,48,4,9,2,0.26,1
68,185814,810,41323,24,19,7,1,0.31,0
37,39675,585,19157,12,13,6,0,0.49,1
46,93997,312,42879,36,31,7,0,0.63,1
56,168087,797,44520,12,25,7,3,0.21,1
21,183663,537,44132,48,5,6,1,0.6,1
28,160905,393,8626,24,35,1,4,0.17,1
69,27896,637,25400,24,39,8,1,0.23,1
55,184044,470,41643,36,4,6,1,0.12,1
35,69733,766,43265,24,12,5,0,0.18,0
67,61800,442,20979,24,31,8,3,0.65,1
42,116044,500,16529,24,15,0,3,0.38,1
34,25347,479,21645,24,0,1,1,0.15,1
46,153715,663,31424,24,12,0,1,0.68,1
48,60785,778,18382,48,10,9,2,0.63,1
43,38681,770,9025,12,7,2,0,0.55,1
34,123864,683,48226,60,24,4,4,0.66,1
44,166964,716,18844,24,39,0,4,0.23,1
22,67299,607,9175,60,31,3,3,0.6,1
65,37073,666,35519,60,23,7,0,0.51,1
46,122304,300,14174,48,27,5,3,0.62,1
34,50682,343,8443,24,13,0,4,0.58,1
27,144302,397,26395,60,2,0,1,0.31,1
23,165361,564,15725,24,35,2,0,0.56,1
67,135359,439,38461,36,26,9,0,0.26,1
43,158999,780,46115,36,19,7,2,0.3,1
66,199402,536,49548,36,14,7,1,0.16,1
63,86707,371,36351,60,26,2,1,0.66,1
67,85428,489,23196,36,27,6,3,0.27,1
65,70601,567,19254,48,24,2,0,0.41,1
38,153611,620,19021,48,32,3,3,0.33,1
58,131487,406,10724,60,13,8,1,0.68,1
55,173741,531,33690,24,7,3,2,0.3,1
35,171716,341,6407,12,13,2,0,0.57,1
45,169817,438,13032,24,0,4,1,0.61,1
57,48228,572,22794,24,15,6,2,0.36,1
48,185593,780,24881,24,17,4,4,0.33,1
30,142788,715,25756,24,6,3,1,0.55,1
59,117239,805,45162,12,14,7,4,0.65,1
37,46928,723,34416,36,23,3,3,0.55,1
59,38322,706,49354,24,12,1,4,0.24,1
42,107896,689,30752,48,8,9,1,0.63,1
46,82292,641,17926,60,14,5,4,0.33,1
64,49055,792,38765,60,34,1,0,0.45,0
45,62891,491,19390,48,23,2,1,0.6,1
37,101912,798,43867,24,32,0,2,0.21,1
33,157660,532,26939,12,15,4,4,0.57,1
40,110536,526,32307,36,7,8,0,0.46,1
45,26304,670,35828,60,28,1,3,0.64,1
24,27345,438,33513,36,22,6,3,0.2,1
30,180372,448,29502,12,30,4,4,0.35,1
23,175331,414,35063,60,39,1,3,0.6,1
61,111006,749,27486,36,13,7,2,0.11,1
65,166424,362,43258,12,29,5,1,0.17,1
38,149350,403,36692,36,38,3,0,0.69,1
67,184437,572,43384,24,26,3,4,0.27,1
56,39446,305,20958,12,15,1,3,0.69,1
67,22336,446,40016,36,5,2,1,0.21,1
42,82032,483,22232,24,32,6,2,0.32,1
54,117852,327,15748,24,17,2,3,0.55,1
67,158593,849,15514,12,15,4,3,0.49,1
28,174553,418,27738,48,11,9,0,0.45,1
60,38474,592,13695,60,19,5,2,0.42,1
69,197832,670,13070,12,39,5,2,0.61,1
64,75718,543,32765,24,28,3,4,0.24,1
39,64629,517,46662,24,29,5,0,0.37,1
62,65232,476,35761,12,25,2,4,0.19,1
61,106544,598,21698,48,21,6,0,0.46,1
57,70669,357,20123,60,32,6,2,0.25,1
26,89184,568,40144,36,38,3,0,0.3,1
46,199017,607,30616,12,28,1,0,0.38,0
54,33140,587,42146,60,21,6,0,0.12,1
65,146468,404,16182,60,12,2,1,0.16,1
26,103457,527,29833,24,8,0,1,0.51,1
57,34357,546,38342,36,23,1,2,0.36,1
53,131672,793,36331,12,14,9,0,0.62,1
42,88673,382,31128,24,35,8,2,0.52,1
41,141673,485,36556,24,12,7,1,0.1,1
26,85633,551,26969,48,26,5,0,0.47,1
26,116111,654,26876,60,36,5,4,0.16,1
68,98258,509,13949,12,6,0,1,0.57,1
24,163996,746,29518,12,7,1,1,0.69,1
50,89286,759,10670,12,36,3,1,0.42,0
31,113269,771,29099,24,13,2,0,0.51,1
50,94071,669,44335,48,11,0,3,0.24,1
51,50651,791,17716,36,35,7,4,0.36,1
44,90202,436,43885,24,39,6,4,0.61,1
29,68777,666,12837,36,16,3,2,0.2,1
23,168066,483,24159,48,39,8,0,0.26,1
51,87263,586,46266,60,28,3,1,0.37,0
60,120158,771,41877,12,26,0,3,0.53,1
57,30800,674,26560,36,0,9,0,0.33,1
56,57823,836,22106,24,33,0,0,0.66,1
44,83878,810,13720,36,3,0,3,0.16,1
51,38708,549,42661,60,23,0,1,0.32,1
26,163891,809,33362,12,20,3,0,0.53,1
22,83870,372,33258,36,32,0,4,0.24,1
40,29283,581,26782,60,6,1,4,0.49,1
48,181645,659,46168,24,0,3,3,0.2,1
31,98707,309,26120,48,2,6,1,0.13,1
24,182005,510,24790,24,14,1,3,0.17,1
35,25774,451,32912,12,30,7,0,0.66,1
26,162055,304,47907,24,15,6,4,0.43,1
69,116468,494,39812,24,9,8,2,0.58,1
50,116334,582,41160,24,28,5,3,0.3,1
58,38133,763,24156,24,5,3,2,0.46,1
22,166011,412,15672,12,28,5,2,0.4,1
35,20781,570,19444,60,16,3,4,0.67,1
31,134586,462,11784,36,21,6,3,0.55,1
28,47624,759,22929,48,23,8,2,0.54,1
46,26823,404,6070,36,16,2,0,0.13,1
65,38489,581,27906,36,20,2,1,0.43,0
64,191033,461,39618,48,10,1,1,0.38,1
25,49118,650,7939,12,6,0,4,0.66,1
26,120417,733,34841,48,38,0,3,0.25,1
46,101816,439,47863,12,4,2,3,0.26,1
24,173335,770,21301,36,20,6,1,0.35,0
39,33565,431,12194,12,17,8,0,0.25,1
40,171426,386,10851,60,34,1,1,0.18,1
53,194023,482,21378,48,19,6,1,0.61,1
40,111179,667,5678,60,14,0,3,0.43,1
69,43648,428,35640,36,4,1,2,0.62,1
32,61971,545,38756,48,12,5,0,0.6,1
67,38658,677,34777,36,11,4,3,0.27,1
21,41253,448,31183,60,20,7,1,0.43,1
46,199635,732,32445,36,36,1,2,0.15,1
34,177462,768,6502,48,5,0,0,0.65,1
58,108664,745,26665,48,6,6,4,0.34,1
57,123850,780,21198,36,25,5,0,0.34,0
31,183730,593,26411,48,7,7,0,0.28,0
56,157924,442,20867,48,8,7,1,0.38,1
33,153623,549,19266,36,26,1,1,0.25,1
63,91947,601,44422,60,3,7,4,0.32,1
23,81001,324,40208,48,20,5,4,0.58,1
53,142775,369,48002,48,30,8,4,0.6,1
26,53243,411,36213,48,20,6,3,0.28,1
30,172872,663,12367,48,39,1,3,0.38,1
25,95939,602,18490,36,24,7,1,0.62,1
43,77828,770,40362,60,38,8,1,0.13,0
30,158311,390,43285,60,14,6,4,0.63,1
64,26710,829,14219,12,34,3,3,0.23,1
22,172456,491,11310,48,36,8,2,0.51,1
33,172110,541,41307,48,27,3,3,0.45,1
60,191918,437,34631,12,13,3,1,0.43,1
22,57991,644,19744,60,3,8,3,0.62,1
40,158043,479,24867,24,19,7,1,0.16,1
21,180211,802,23625,24,33,3,4,0.31,1
57,105445,502,11378,60,11,7,4,0.42,1
29,100257,491,24149,48,32,7,4,0.59,1
37,57711,304,47133,24,23,6,2,0.23,1
29,26530,536,16422,36,19,9,2,0.58,1
31,31116,610,32926,36,4,5,1,0.34,1
35,85794,848,42679,12,37,7,0,0.21,0
44,151354,355,38171,60,29,6,2,0.56,1
58,152970,742,18180,60,23,4,1,0.15,0
55,24135,536,32301,24,39,3,3,0.41,1
50,157701,496,41931,48,6,1,4,0.14,1
51,129472,813,29014,60,35,7,4,0.31,1
69,145147,748,35936,24,37,8,4,0.46,1
25,109087,659,19336,24,15,3,1,0.43,0
64,53380,329,27200,60,14,3,4,0.34,1
34,149951,407,10470,24,22,4,2,0.36,1
31,37071,744,35859,12,11,1,3,0.24,1
29,40074,737,19953,12,28,6,4,0.37,1
54,87843,756,44044,60,14,4,1,0.67,1
32,59901,794,43507,48,28,5,3,0.61,1
55,31205,546,32433,12,20,3,4,0.19,1
55,144661,842,30957,12,14,7,0,0.12,0
21,25906,738,11523,60,13,7,4,0.66,1
60,153663,577,26387,36,15,4,2,0.42,1
42,145576,410,36169,24,14,5,3,0.42,1
49,82987,684,27990,12,3,2,2,0.57,1
28,100685,490,34661,36,26,0,0,0.29,1
31,130454,789,18419,48,22,8,0,0.39,0
61,125487,725,19457,36,28,8,2,0.68,1
57,74400,704,7064,60,8,2,3,0.5,1
34,176222,634,43083,48,6,3,0,0.19,0
50,51852,508,15566,48,3,6,0,0.18,1
55,193942,321,38085,36,4,1,4,0.22,1
41,72756,507,36528,60,4,2,1,0.56,1
57,135357,307,11130,12,10,5,0,0.28,1
25,139052,828,45187,36,27,7,3,0.11,1
39,76481,465,7042,12,15,0,3,0.67,1
34,21283,795,9598,36,29,3,4,0.2,1
46,53691,728,47982,12,3,0,3,0.11,1
24,152197,462,37886,36,1,1,4,0.24,1
45,46170,665,38477,48,2,7,0,0.24,0
65,28438,825,33716,24,20,5,0,0.35,1
62,40095,538,17601,48,5,8,0,0.65,1
45,167226,371,41018,12,17,1,0,0.63,1
38,159076,744,13061,60,4,2,1,0.37,0
60,29752,808,13609,48,8,8,1,0.35,1
28,75426,568,40371,24,19,8,0,0.43,1
59,46819,714,49814,12,27,5,3,0.25,1
60,112051,544,22485,48,25,2,4,0.13,1
34,175289,359,25805,36,17,4,2,0.66,1
52,52994,305,12857,60,18,1,4,0.21,1
58,166108,706,16620,12,2,6,2,0.22,1
53,117756,516,13177,48,8,9,2,0.38,1
43,160659,325,35111,12,35,7,0,0.39,1
35,115665,304,28042,36,30,5,2,0.11,1
53,151717,831,23645,24,16,7,0,0.19,0
45,182002,689,29405,48,22,1,1,0.33,0
37,101835,747,16826,12,33,2,3,0.51,1
53,142232,445,18890,12,4,6,2,0.24,1
67,181162,687,21892,12,14,9,3,0.35,1
22,177547,548,14484,24,2,0,0,0.43,1
34,169960,825,10495,12,18,6,2,0.63,1
60,63732,761,33481,60,27,5,4,0.3,1
60,66305,312,16267,60,2,7,1,0.18,1
59,197109,683,45166,12,37,6,1,0.39,0
26,29346,698,11743,60,3,3,2,0.55,1
26,20587,318,42939,48,23,2,1,0.17,1
23,32763,790,31569,60,30,2,4,0.35,1
27,89615,718,33552,12,10,3,3,0.11,1
28,187188,636,48730,36,36,8,4,0.12,1
62,140987,718,33948,48,0,8,1,0.39,0
35,111353,421,15775,24,8,1,3,0.28,1
67,115648,731,8557,12,16,4,4,0.61,1
49,45556,343,8587,24,0,0,0,0.46,1
53,79042,616,21535,36,2,3,0,0.37,0
50,38099,680,5954,24,25,1,3,0.34,1
59,129089,444,28544,12,30,7,3,0.4,1
47,196168,626,38455,12,25,3,3,0.12,1
56,164302,662,46269,36,22,4,0,0.64,1
49,180081,349,20138,12,29,3,4,0.7,1
58,53866,364,47462,36,9,4,3,0.21,1
53,125400,654,8127,36,7,4,0,0.17,0
57,104246,463,28147,12,24,4,3,0.19,1
47,96975,440,16559,60,21,2,3,0.5,1
53,192927,427,8395,36,14,6,3,0.5,1
24,101557,697,30389,12,9,2,0,0.61,1
42,157488,762,5845,60,19,1,4,0.55,1
22,92516,486,38932,36,22,2,0,0.37,1
30,169130,489,43672,60,0,2,0,0.47,1
25,191790,687,18731,48,1,7,3,0.51,1
30,52602,728,38122,48,18,3,2,0.41,1
53,178588,583,40585,60,13,2,2,0.39,1
58,149295,536,8832,36,7,9,2,0.49,1
33,107969,493,37332,12,37,4,0,0.43,1
51,152161,586,17467,24,11,3,3,0.49,1
67,188418,435,46025,12,25,8,2,0.47,1
56,161559,470,18107,24,26,7,1,0.53,1
65,20155,458,17458,24,28,6,1,0.49,1
44,143950,500,33666,36,14,7,1,0.41,1
35,87494,786,48481,60,0,4,4,0.51,1
49,96229,803,7581,12,27,3,3,0.37,1
28,124648,670,14582,60,2,6,0,0.25,0
25,58547,402,13418,48,17,0,0,0.1,1
